Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
Obfuna,,,turing tarpits,implemented,,languages
XS,,,,total,,languages
AutoMouse,1998,,,implemented,,languages; two-dimensional languages
23,2002,,,implemented,,languages
THRAT,2004,,turing tarpits; turing complete,implemented,cell-based,languages; brainfuck derivatives
Haifu,2002,,,implemented,,languages
Fm,,,turing complete,,,brainfuck derivatives
Biota,,,,implemented; no io,,two-dimensional languages; languages
P′′,,,turing complete; turing tarpits,implemented,cell-based,languages; low-level; brainfuck
1L,2005,,turing tarpits,implemented; unimplemented,,languages; two-dimensional languages; low-level
Binary combinatory logic,,functional paradigm,turing tarpits,no io; implemented,,languages; low-level
ADJUST,2005,,,implemented,stack-based,languages; two-dimensional languages; low-level
Udage,2005,,turing tarpits,implemented,cell-based,languages; cjk
Gravity,2005,,unknown computational class,usability unknown; unimplemented,,languages; two-dimensional languages; low-level
MISC,2003,,turing complete; turing tarpits,no io; unimplemented,cell-based,languages; low-level
PROLAN/M,,,turing complete,implemented,,languages
Brainloller,2005,,turing complete,implemented,cell-based,languages; brainfuck derivatives; two-dimensional languages; low-level
Deltaplex,2006,,unknown computational class,implemented,,languages; two-dimensional languages; high-level
SADOL,2005,functional paradigm,turing_complete,implemented,,languages
Network Headache,,,unknown computational class,implemented,,languages; low-level
Easy,2005,,turing tarpits,implemented,cell-based,languages; joke languages; brainfuck derivatives; low-level
Orthogonal,1996,,unknown computational class,output only; implemented,stack-based,languages; two-dimensional languages; low-level
Orthagonal,1994,,unknown computational class,implemented,stack-based,languages; two-dimensional languages
Shakespeare,2001,,unknown computational class,implemented,stack-based,languages; high-level; thematic
Braintwist,2005,,turing complete,implemented,cell-based,languages; brainfuck derivatives; low-level
Catch,,,,unimplemented,,languages
Braincopter,2005,,turing complete,implemented,cell-based; steganography,languages; brainfuck derivatives; two-dimensional languages; low-level
Subskin,2005,,turing complete; turing tarpits,implemented,,languages; low-level
Mycelium,2005,,,implemented,cell-based,languages; two-dimensional languages; low-level
Trigger,2005,,finite state automata,implemented,,languages; low-level
Cvlemar,2005,,,,,languages
SMATINY,2005,,unknown computational class; finite state automata,usability unknown; output only; implemented,,languages; low-level
Glypho,2005,,turing complete; turing tarpits,implemented,stack-based,languages; low-level
AlPhAbEt,2005,,,usability unknown; implemented,cell-based; deque-based,languages; low-level
Zot,2002,functional paradigm,turing tarpits,implemented,,languages
Brainhype,,,,implemented,cell-based,languages; brainfuck derivatives; low-level
Glass,2005,object-oriented paradigm,turing complete,implemented,stack-based,languages
Befalse,2005,,turing complete,implemented,cell-based; stack-based,languages; two-dimensional languages; low-level
Subtle cough,,functional paradigm,,unusable for programming,,languages
QUATRE-CALC,,,,implemented,stack-based,languages
Sceql,2005,,turing complete,implemented,queue-based,languages; low-level
Rail,2005,functional paradigm,,implemented,stack-based,languages; two-dimensional languages
Hanoi Love,2001,,turing complete,implemented,stack-based,languages; low-level
Magenta,1995,,,unimplemented,,languages
Shelta,1999,,,implemented,,languages; low-level
GraNoLa/M,2002,,,implemented,,languages
"Foobar and Foobaz and Barbaz, oh my!",2005,,finite state automata,implemented,,languages; low-level
Object disoriented,2005,object-oriented paradigm; functional paradigm,turing complete,unimplemented,,languages
Camouflage,2005,,,implemented,,languages; high-level
BAK,2000,,,implemented,stack-based,languages
Bear Food,2001,,,implemented,,languages
