Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
Myth,2013,,turing complete; turing tarpits,implemented,,languages; low-level
Ririsu,2013,,turing complete,implemented,stack-based,languages
Impera,2013,,turing complete; turing tarpits,implemented,cell-based,languages; low-level
Commercial,2013,,,implemented,,languages; thematic; high-level
Brainfact,2013,,,,cell-based,languages; brainfuck derivatives
STXTRM,2013,,turing complete; turing tarpits,implemented,stack-based,languages; low-level
RISBF,2013,,turing complete,implemented,cell-based,languages; brainfuck equivalents; low-level
Somnypna,2013,object-oriented paradigm,,unimplemented,,languages; low-level
Paintfuck+,2013,,,,cell-based,brainfuck derivatives; languages
Bitfuck,2013,,turing complete; turing tarpits,implemented,cell-based,languages; low-level; brainfuck derivatives
Triskaidekalogophilia,2013,,,implemented,,languages
StackBeat,2013,,,implemented,stack-based,languages; low-level
Stackstack,,,turing complete,implemented,stack-based,languages
Edge,2013,,turing complete; turing tarpits,no io; implemented,cell-based,languages; brainfuck derivatives
3switchBF,2013,,turing complete; turing tarpits,implemented,,languages; brainfuck derivatives
A:;,2013,,turing complete,implemented,,languages
Golunar,2013,,turing tarpits; turing complete,implemented,cell-based,languages; brainfuck derivatives; brainfuck equivalents; low-level; joke languages
Omam,2013,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; brainfuck equivalents; joke languages; thematic
Verbose,2013,,turing complete,implemented,stack-based,languages; joke languages
Snowflake,2013,,unknown computational class,unimplemented,concurrent programming; stack-based,languages
Daft,2013,functional_paradigm; object-oriented_paradigm; declarative_paradigm,,unimplemented,concurrent_programming,languages; meta-languages; high-level
Terse,2013,,,implemented,,languages
Fishing,2013,,,implemented,cell-based,languages; two-dimensional languages; thematic
Drive-In Window,2013,,finite state automata,implemented,cell-based,languages; thematic; high-level
Pancake Stack,2013,,turing complete,implemented,stack-based,languages; thematic
Tic Tac Toe,2013,,turing complete,implemented,cell-based,languages; brainfuck derivatives; thematic
Switchy,2013,,finite state automata,implemented,stack-based,languages
Wigner's Fuckbuddy Is A Superposition of Top And Bottom,2013,,turing complete,unimplemented,,languages; brainfuck derivatives; quantum computing
B-tapemark,2013,,,unimplemented,,languages; two-dimensional languages
Dogescript,2013,,,implemented,,languages; thematic
TAPASM,2013,,,,cell-based,languages; low-level
Symbols,2013,,,,,languages
Magicard!,2013,,unknown computational class,unimplemented,deque-based,languages; thematic
Pinocchio,,,,implemented,,languages; thematic
Rasen,2014,,,implemented; total,,
Not The Main Worb,2014,,,implemented; no io,cell-based; particle automata,languages; two-dimensional languages
StackFlow,2014,,turing tarpits; turing complete,output only,stack-based,languages
Cellbrain,2007,,turing complete; turing tarpits,implemented,queue-based; concurrent programming,languages; two-dimensional languages; low-level
$tonePits,2014,,unknown computational class,unimplemented,,languages
.mOdMoDwOrM,2014,,turing complete,unimplemented,,thematic; languages
.m@dpr'a'prozessor,2014,,,unimplemented,,languages
~-Hash,,,,,,languages; brainfuck derivatives
Manufactoria,2014,,turing complete,implemented,queue-based,languages; two-dimensional languages; low-level
Circuit Diagram,2014,,unknown computational class,unimplemented,,languages; low-level; two-dimensional languages
Quiney,2014,,turing complete; turing tarpits,implemented,cell-based,languages; low-level
SPAM/1,2014,,,usability unknown,stack-based,low-level
ResPlicate,2014,,turing complete; turing tarpits,implemented,queue-based,
McCulloch's second machine,,,,implemented,,
McCulloch's third machine,,,,implemented,,
Sultan's daughter,1997,,,implemented,,languages
Fünke,2014,functional paradigm,,unimplemented,,languages
Bantas,,,,,stack-based,languages
Fission,2014,,,implemented,,languages; two-dimensional languages
Ashtol,,,,,,languages
JSFuck,2012,,turing complete,,,languages
\BV,2013,,,,,languages; icfp contest
Lambda: the Gathering,2011,,,programming games,,icfp contest
GML,2000,functional paradigm,turing complete,output only,stack-based,icfp contest; languages
Indirect,2014,,,implemented,cell-based,languages; brainfuck_derivatives; low-level
A programming language is a system of notation for writing computer programs.,2014,,,unusable for programming; implemented; output only; total,,languages
Nock,,,turing tarpits,implemented,,languages
Boxy,2014,functional_paradigm,turing_complete,unimplemented,,languages
Ax,,,,,,languages
Keya,2014,,turing complete,implemented,cell-based,languages; brainfuck_derivatives
NRSRSSOMN,2014,,,unimplemented,,
Aeon,2014,,,,,brainfuck derivatives; languages
ArnoldC,2013,,,,,languages; thematic
Powerlist,2014,object-oriented_paradigm; functional_paradigm,turing_complete,unimplemented,deque-based,high-level; languages
Forobj,,object-oriented_paradigm,turing_complete,,stack-based,languages
@text,,,,total; implemented; unusable for programming; output only,,languages; joke languages
PHL 1.0,2012,,unknown computational class,implemented,,languages
0(nop^),,,,implemented,,languages
Goldfish,2014,,turing complete,implemented,,languages
5command,2014,,,total; unusable for programming; implemented,cell-based,languages
1+,2014,,turing complete,implemented,stack-based,languages; low-level
Twocode,2014,,turing complete,,,languages; two-dimensional languages; low-level
BANCStar,,,,,,languages
Lii,2014,object-oriented paradigm; declarative paradigm,turing complete,output only,,languages
Pluso,2020,,,unusable for programming; implemented; output only; total,,languages; joke languages
Smilefuck,2014,,unknown computational class,,,languages
SYCPOL,2014,,,implemented,,languages
Pyth,2014,,,implemented,stack-based,golfing language; languages
Ligature Machine,,,,,,languages
X++,2008,,,implemented,,languages
Befunk,2014,,turing complete,implemented,,languages; two-dimensional languages
Replacefuck,2014,,turing complete,implemented,cell-based,brainfuck derivatives; languages; low-level
Topsy Turvy,,,,unimplemented,cell-based,languages; brainfuck derivatives; low-level
VIOLET,2014,,,implemented,,languages; high-level; thematic
CJam,2014,,turing complete,implemented,stack-based,golfing language; languages
Cork,2014,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck_derivatives; low-level
Fortob,2014,,unknown computational class,,stack-based,languages
Simplefunge,2014,,turing complete,implemented,stack-based,two-dimensional_languages; languages
Bitoven,2014,,,,cell-based,languages; low-level
Clem,,,turing complete,,,
Rotary,2014,,unknown computational class,implemented,cell-based; stack-based,languages; brainfuck_derivatives; low-level; two-dimensional languages
Jasp,,,,implemented,,languages
PZAB,2013,,bounded-storage_machine,implemented,cell-based,languages; low-level
Musical notes,2014,,finite state automata,unimplemented,,languages; brainfuck derivatives
Strato,2014,,,,,languages
FakeASM,2012; 2014,,,,,languages
StackStacks,2014,,turing complete,implemented,stack-based,languages
Element,2012,,,implemented,stack-based,languages; golfing language
Ante,2013,,unknown computational class,implemented; usability unknown,,languages; thematic
Dimensions,2014,,,unimplemented,multi-dimensional languages,languages; brainfuck derivatives
MNNBFSL,2014,,turing complete,implemented,stack-based,brainfuck derivatives; languages; low-level
Quantum Dimensions,2014,,,unimplemented,multi-dimensional languages,languages; quantum computing
ATZ,,,turing complete,unimplemented,,languages
Inca,2014,functional paradigm,,implemented,multi-dimensional languages,languages
My Unreliable Past,2014,,unknown computational class,unimplemented,,languages; low-level
Scrip7,2014,,,implemented,,languages
GridScript,2014,,,unimplemented,,languages; two-dimensional languages
Mmmm(),2014,,,implemented,,languages
K-on Fuck,,,,,,brainfuck equivalents
قلب,2012,functional paradigm,turing complete,implemented,,languages; high-level
RingCode,2014,,,,,two-dimensional languages
StaPLe,2014,,,implemented,stack-based,low-level; languages
BS,2014,,,,,languages
Folders,2015,,,implemented,,languages
Vigil,2013,,,,,languages‏‎
Iexp,2015,declarative paradigm,,output only; unimplemented,,languages
XRF,2015,,,implemented,stack-based,languages
QFL,,functional paradigm,turing tarpits,implemented,,languages
Taktentus,2015,,,implemented,,languages
KlingonCode,2015,,,,,
Mice in a maze,2015,,,implemented,concurrent programming,brainfuck derivatives; languages; two-dimensional languages
Semi-quantum,2015,,,unimplemented,,languages; quantum computing
HeartForth,2015,,,,stack-based,languages
Clip,2015,functional paradigm,turing complete,implemented,,languages
Integral,2015,,,,,languages; brainfuck equivalents
GOTO 10,2015,,unknown computational class,implemented,,languages
Turing Script,2015,,turing complete,unimplemented,,languages
~ATH,,,,unusable for programming; unimplemented,concurrent programming,languages
Wordy,2015,,turing complete,implemented,,languages
Duck Duck Goose,2015,,turing complete,implemented,queue-based,languages; thematic
Time Out,2015,,,implemented,stack-based,languages
Hexadecimal Stacking Pseudo-Assembly Language,2015,,turing complete,implemented,stack-based,languages
EncryptFuck,2015,,,implemented,,languages; brainfuck derivatives
Folder,,,finite state automata,implemented,,languages
Gibberish/JavaScript,2015,,,,,languages; markup languages
4,2015,,turing complete,implemented,cell-based,thematic; languages
AFTL,2015,,,implemented,stack-based,languages
Alphabetti spaghetti,2015,,,implemented,,languages
CalScript,2015,,,implemented,cell-based; stack-based,languages
Microscript,2015,,turing complete,implemented,stack-based,languages; golfing language
Fringespeak,2014,,,implemented,,languages
Alacrity,2014,,,implemented,,languages
Churro,2014,,,implemented,stack-based,languages; thematic
Fourfuck,2015,,unknown computational class,unimplemented,cell-based,languages; brainfuck derivatives; low-level
Table,2015,,turing complete,unimplemented,,languages
And,2015,,turing complete,implemented,,languages
Goto,,,finite state automata,implemented,,languages
ABCs,,,,implemented,,languages
Marbelous,2014,,linear bounded automata,implemented,,languages; two-dimensional languages
Darmok,,,,,,languages; thematic
Cod,,,,implemented; total; unusable for programming; output only,,languages
Unc,,,turing complete,implemented,,languages; low-level
Noisett,2015,,turing complete,,,languages
Owk,,,,,,languages
Lamb,,functional paradigm,turing complete,implemented,,languages
Generic 2D Brainfuck,2015,,turing complete; turing tarpits,implemented,cell-based,brainfuck derivatives; two-dimensional languages; languages; low-level
Refract,2015,,turing complete,implemented,stack-based,languages; two-dimensional languages
J--,,,turing complete,implemented,,languages
Cood,,,,implemented,,languages; thematic
Langar.io,2015,,,,cell-based; stack-based,languages; two-dimensional languages
"Ultimate Programming Language to Take Over a Prison, Then He World",2015,,,implemented,,languages; thematic
Retina,2015,,turing complete,implemented,,languages
MagiStack,2015,,,implemented,stack-based,languages
???,2015,,turing complete,implemented,,languages; brainfuck equivalents
Niblet,2015,,unknown computational class,implemented,cell-based; stack-based,languages
Snowman,2015,,,implemented,,languages
Fourier,,,,implemented,,languages; golfing language
Labyrinth,2015,,turing complete,implemented,stack-based‏,languages; two-dimensional languages
WUUI,2015,,unknown computational class,output only; unimplemented,,languages; low-level
J-why,2015,functional paradigm,,unimplemented,,languages
Slim,2015,,,implemented,stack-based,languages
Roadrunner,2015,,,,,languages; brainfuck equivalents
Symball,,,,,,languages
Nopfunge,2015,,turing complete; turing tarpits,implemented; no io,,low-level; languages; two-dimensional languages
Hexagony,2015,,turing complete,implemented,cell-based‏,languages; two-dimensional languages
7Basic,2015,,,implemented,,languages
Ajsone,2014,,,implemented,,languages
HALT,,,,,,languages
Nyarlathotep,2015,,finite state automata,usability unknown; implemented,cell-based,languages
Espro,2015,object-oriented paradigm,turing complete,unimplemented,,languages; high-level
90,2015,,unknown computational class,usability unknown; unimplemented,,languages
G*,2015,,,,,languages; golfing language
CompressedFuck,2015,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; brainfuck equivalents
C+,2015,,,unimplemented,,languages; joke languages
Infinite Vector,2015,,turing complete,unimplemented,,languages; high-level
EGSHEL,2015,,,unimplemented,,languages; golfing language
Unicat,2015,,,implemented,,languages
MATL,2015,,turing complete,implemented,stack-based; graphical output,languages; golfing language
AIV,2015,,,unimplemented,,languages
CASTLE,2014,declarative paradigm,,unimplemented,cellular automata,languages; meta-languages
Brian & Chuck,2015,,turing complete,implemented,cell-based‏,languages; brainfuck derivatives; low-level
DStack,2015,,turing complete,implemented,stack-based,languages
SPLEMIT21,,,,unusable for programming,,languages; joke languages
Three Star Programmer,2015,,unknown computational class,usability unknown; output only; implemented,cell-based,languages; low-level
Brackit,2015,,,unimplemented,stack-based,languages; golfing language
Amycus,2015,functional paradigm,turing complete,no io; unimplemented,,languages
Hyperamicus,2015,functional paradigm,,no io; unimplemented,,languages
Amycus Severus,2015,functional paradigm,turing complete,no io; implemented,,languages
UberGenes,2015,,turing complete,implemented,,languages; low-level
Purple,2015,,turing tarpits,implemented,cell-based,low-level; languages
Seriously,2015,,,implemented,stack-based,languages; golfing language
Last ReSort,2015,,,no io; unimplemented,,languages; low-level
The Amnesiac From Minsk,2015,,turing complete,output only; implemented,cell-based,languages; low-level
Portable Minsky Machine Notation,2015,,turing complete,,,languages; low-level
Kangaroo,2015,,turing complete,implemented; no io,,languages; low-level
Beeswax,2015,,turing complete,implemented,stack-based; cell-based‏,languages; two-dimensional languages; low-level
ROOP,2015,,turing complete,implemented,,languages; two-dimensional languages
Your Minsky May Vary,2015,,unknown computational class,usability unknown; unimplemented,,languages
Takeover,2016,,unknown computational class,implemented,,languages
TrumpScript,2016,,,implemented,,joke languages; languages
Tome,,,,implemented,,languages
FISHQ9+,2016,,,unusable for programming; output only; implemented,,languages; joke languages; high-level
M×N-Dimensional Brainfuck,2016,,,,cell-based; multi-dimensional languages,languages; low-level; brainfuck derivatives
AnnieFlow,2016,,turing complete; turing tarpits,implemented,,languages
Viktor's amazing 4-bit processor,1999,,finite state automata,implemented,,low-level; languages
Armok,2016,,,implemented,,languages; thematic
Humo,,,turing complete; turing tarpits,implemented,,languages
Q,2016,,turing complete,implemented,,languages
!!!,,,,unimplemented,,languages
Vitsy,,,,implemented,,languages
Japt,2015,,turing complete,implemented,,golfing language; languages
Libra,,,turing complete,implemented,,languages; high-level
Gbagbo,2016,,,implemented,,languages
Hoon,2011,functional paradigm,turing complete,implemented,,languages
S.I.L.O.S,,,,,,languages
SBN,2004,,turing complete,,,low-level
Y (Conor O'Brien),,,,implemented,stack-based,languages
Daoyu,2016,,unknown computational class,implemented,cell-based,languages; low-level
COMPLEX,2016,,,output only; implemented,,languages; two-dimensional languages
Fuun DNA,2007,,turing complete,,,languages; icfp contest
Fuun RNA,2007,,,,,languages; icfp contest
Юᓂ곧⎔,2004,,,unimplemented,,languages; cjk
AssemblerFuck,2016,,turing complete,implemented,cell-based,languages; brainfuck derivatives
Scotty,2016,,,educational; implemented,,languages
GPRX 3000,2016,,turing complete,implemented,,languages; low-level
Confusion,2016,,finite state automata,implemented,,languages
Laconic,2016,,turing complete,implemented,,languages
Obfuscated Tiny C,2001; 1996,,,implemented,,languages
Goruby,,,,implemented,,languages
Gopher,2016,,,implemented,,languages
Tellurium,2016,,turing complete,implemented,cell-based,languages; brainfuck derivatives
ListLang,2016,,,implemented; implemented,stack-based,languages
Chance,2016,,,implemented; total; unusable for programming,,languages
ANItka,2016,,,implemented,cell-based,languages
Z,2016,,,implemented,,languages
Anguish,,,,implemented,,brainfuck equivalents; languages
++brainfuck++,2016,,,,,languages; brainfuck derivatives
BF+BF,2016,,,implemented,,languages; two-dimensional languages; brainfuck derivatives
Fumble,,,,unimplemented,stack-based,languages
Stack Cats,2016,,turing complete,implemented,stack-based‏,languages
Stack Up,2016,,turing complete,implemented,stack-based,languages
Subtractpocalypse,2016,,turing complete,output only; implemented,,languages
Symbolic Brainfuck,2016,,,implemented,cell-based,low-level; languages; brainfuck; brainfuck derivatives
PokéBattle,2016,,,implemented,,languages; thematic
Emoji-gramming,2017,,turing complete,implemented,,languages
Calcutape,2016,,,implemented,stack-based,languages
FOSCode,,,,,stack-based; queue-based,languages
Gaot++,2016,,,implemented,stack-based,languages; thematic
Brain-Flak,2016,,turing complete,implemented,stack-based‏,languages
HashHell,2016,,turing complete,implemented,,languages
MiniStringFuck,2000,,,implemented,,brainfuck_derivatives; joke_languages; languages
W-INTERCAL,2016,,,implemented,,languages
Unfuck,,,,,,languages; brainfuck derivatives
CSL,2016,,,implemented,stack-based,languages; two-dimensional_languages
Subterra,2016,,turing complete,implemented,stack-based,languages
Logicode,,,,implemented,,languages
MiniPig,2016,,unknown computational class,implemented,stack-based,languages
Refunge,2016,,,implemented,,two-dimensional_languages; languages
Cubix,2016,,,implemented,stack-based,languages; two-dimensional languages
Bug Computer,2012,,,educational; implemented,,languages; low-level
NOR,,,,implemented,,languages
Ouroboros,2015,,,implemented,stack-based,languages; two-dimensional_languages; thematic
Brain,,,turing complete,implemented,,languages; brainfuck derivatives
Kinetosis,,,,,,languages
MiLambda,2015,,turing complete,implemented,cell-based,languages; two-dimensional languages
Factory,2016,,turing complete,implemented,stack-based,languages
PPAP++,,,,implemented,,languages; brainfuck equivalents; thematic
OOLANG,2015,,turing complete,implemented,stack-based,languages
ObCode,2016,,turing_tarpits; turing complete,implemented,stack-based,languages
Shuffle,2016,,unknown computational class,unusable for programming; implemented,cell-based,languages; two-dimensional languages; thematic
EntropyAssembler,2016,,,implemented,,languages
Incident,2016,,turing tarpits; turing complete,implemented,stack-based,languages; low-level
OneFuck,2016,,,unusable_for_programming; implemented,,languages; brainfuck
Kitanai,2016,,,implemented,,languages
Alex,2016,,turing complete,implemented,stack-based,languages
Stackish,2016,,turing complete,,stack-based,languages
DBR,2016,,,implemented,,languages; brainfuck
DROL,2016,,,implemented,,languages
ABCR,2016,,,implemented,queue-based,languages
STOD,2016,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck derivatives; low-level
Calculator,2016,,turing complete,implemented,stack-based,languages
OIL,2016,,turing complete,implemented,cell-based,low-level; languages
LAMPA,2016,,,implemented,,languages
7,2016,,turing complete,implemented,,languages; low-level
Starfish,2016,,turing complete,implemented,stack-based; cell-based,languages; two-dimensional languages
A Pear Tree,2016,,turing complete,implemented,,languages; high-level
BrainInt,,,,implemented,,languages; brainfuck derivatives
Voclex,2016,functional paradigm,unknown computational class,implemented,,languages
CodeFuck,,,,,,brainfuck derivatives
Cheers,2017,,unknown computational class,unusable for programming; implemented,stack-based,languages; thematic
Blablafuck,,,turing complete,implemented,,languages; brainfuck derivatives
Cool,2017,,,,,languages
ALL,2017,,,,cell-based,languages
QaSaC,2017,,unknown computational class,unimplemented,stack-based,languages
Chaincode,2017,,,implemented,,languages
V (DJMcMayhem),2016,,,implemented,,golfing language; languages
V (FMota),2007,,turing complete,implemented,,languages; brainfuck derivatives
MiniBitMove,2017,,,implemented; unusable for programming,cell-based,languages
Tick,2017,,,implemented,cell-based,languages
InfiniTick,2017,,,implemented,cell-based,languages
Campfire,2017,,unknown computational class,,stack-based,languages; low-level
Silberjoder,2016,,turing complete,implemented,cell-based,languages; brainfuck derivatives; low-level
Brainfuck+3,2017,,turing complete,implemented,cell-based,languages; brainfuck derivatives; low-level
( ͡° ͜ʖ ͡°)fuck,2017,,turing complete; turing tarpits,implemented,,languages; brainfuck derivatives
Y86,,,,implemented,cell-based,languages; low-level
Drift,2017,,,implemented,stack-based,languages; high-level
MMIX,2004,,,implemented,cell-based,languages; low-level
BitCycle,2017,,turing_complete,implemented,queue-based,languages; two-dimensional_languages; low-level
SUL,,functional paradigm,,,,languages
Nairb,2017,,,works-in-progress,,languages; brainfuck derivatives
Fluffle Puff,2014,,turing complete; turing tarpits,implemented,cell-based,languages; brainfuck equivalents; thematic
Nors,2017,,turing complete,implemented; output only,,languages
Graphical Brainfuck,2017,,turing complete; turing tarpits,implemented,cell-based; multi-dimensional languages; graphical output,languages; brainfuck derivatives
Aya,,,,,stack-based,languages; golfing language
Implieses,2017,,turing complete,implemented; output only,,languages
Mostawesomeprogramminglanguage,2017,,turing complete,unimplemented,stack-based,languages
Rain,2017,,turing complete,implemented,,two-dimensional languages; languages
Trajedy,2017,,turing complete,implemented,,languages; two-dimensional languages
Chaingate,2017,,unknown computational class,usability unknown; no io; implemented,cell-based,languages; low-level
A-gram,,,,,,languages
ChuckScript,2016,,,implemented,,joke languages; languages
Oracle,2017,,,,,
QWOP,2017,,,,,
Poohbear,2017,,turing complete,implemented,cell-based,languages
LINR,,,,usability unknown; output only; implemented,,languages; low-level
WysiScript,2017,,turing complete,implemented,,languages
Aceto,2017,,turing complete,implemented,cell-based; stack-based,low-level; two-dimensional languages; languages
Brainfuck Substitutor,2017,,turing complete; turing tarpits,implemented,,languages; brainfuck derivatives
But Is It Art?,2017,declarative paradigm,turing complete; turing tarpits,implemented,,languages; two-dimensional languages
Hanoiing,,,,,,languages
Braingolf,2017,,,implemented,stack-based,languages; golfing language
Hopscotch,2017,,,,,languages
TEWELSWAC,,,,implemented,,languages; high-level
Klein,2017,,,implemented,stack-based‏,languages; two-dimensional languages
Decimal,,,,,stack-based,languages
Micro,2017,functional paradigm,,,stack-based,languages; low-level
VTFF,,,turing complete,,,languages
Footsteps,2017,,,usability unknown; no io; implemented,queue-based,languages
Conedy,2017,,unknown computational class,implemented,,languages; two-dimensional languages
Theoretica,,,,,stack-based,languages
Integ,2017,,turing complete,implemented,cell-based,languages; low-level
FFM/FFB,2017,declarative paradigm,finite state automata,implemented,cell-based,languages
PNID,2017,,turing tarpits,implemented,cell-based,low-level; languages; brainfuck
Turing Tumble,2017,,turing complete,implemented,cell-based,languages; two-dimensional languages; low-level
Number Factory,2017,,,implemented,stack-based; queue-based,languages; thematic
Triple Threat,2017,,turing complete,implemented,stack-based,languages
Magic-1,2005,,,implemented,,languages; low-level
Hardfuck,2017,,turing complete; turing tarpits,,cell-based,languages; brainfuck_derivatives; low-level
MIX (Knuth),,,,implemented,,languages; low-level
@,2017,,,implemented,,golfing language; languages
Comefrom0x10,2016,,turing complete,,,languages; high-level
Glava,2017,,turing complete,implemented,,languages
Ly,2017,,,implemented,stack-based,languages
The Great Spell,2017,,,unimplemented,deque-based,languages; thematic
SMATIMU,2017,,turing complete,output only,,languages
Dependently Typed Binary Lambda Calculus,2017,functional paradigm,turing complete,implemented,,languages
Vowels (2017),2017,,turing complete,implemented,stack-based,languages; thematic
Explode,,,unknown computational class,works-in-progress,cell-based,languages
Typespam,2017,,unknown computational class,implemented,cell-based,languages
(P™TM™)™,,,turing complete,implemented,,languages
MashedPotatoes,2017,,unknown computational class,implemented,,languages
AsciiDots,2017,,turing complete,,,languages; two-dimensional languages
TheSingularity,2017,,,,,languages
InSpace,2017,,,unimplemented,,languages
(0),2017,,,no io; unimplemented,,languages
B1nary,,,turing complete,,,languages
Skastic,2017,functional paradigm,turing complete,implemented,,languages; two-dimensional languages
Maybe Later,2017,,turing complete,implemented,,languages; high-level
TEWNLSWAC,,,,implemented,,languages; high-level
Javagrid,,,,implemented,,languages; two-dimensional languages
Rev,2017,,,,stack-based,languages
WCDA,,,,,,languages
XTW,2017,object-oriented_paradigm,,implemented,,languages; high-level
Minim,2017,imperative paradigm,turing complete; bounded-storage_machine,implemented,,languages; low-level
Countdown,,,finite state automata,implemented; output only; unusable for programming,,languages
Fetlang,,,turing complete,implemented,,languages; joke languages; thematic
Focus,,,,,,languages
TwoFiftyFive,2017,,push-down automata,,,languages
Tables,,,,works-in-progress,,stubs; languages
Countercall,2017,,unknown computational class,usability unknown; no io; unimplemented,stack-based,languages; low-level
DGOL,2017,,,implemented,,languages
Olvasható,2006,,turing complete,implemented,,languages
Lost,2017,,,implemented,stack-based‏,languages; two-dimensional languages
Geo,2003,,turing complete,output only; implemented,,languages
Scan,2003,,push-down automata,output only; implemented,,languages
Crement,2017,,turing complete,no io; unimplemented,,languages
Basicfuck,,,turing complete,implemented,,languages; low-level
Extensible Crement,2017,,,,,languages
Bauberqueue,2017,,turing complete,implemented,queue-based,languages; low-level
Alice,2017,,turing complete,implemented,stack-based‏,languages; two-dimensional languages
BuzzFizz,2017,,linear bounded automata,implemented,,low-level; languages
Tableaux,2017,declarative paradigm,,unimplemented,cell-based,languages; high-level
Neg,,,turing complete,,,languages
PL/MIX,,,,,,languages
Tampio,2017,,,implemented,,languages
Wordless,2018,,,unimplemented,,languages; high-level
Metatape,2017,,turing complete,implemented,cell-based; multi-dimensional languages,languages; low-level
TaiDoKu,2018,,,implemented,cell-based,languages; two-dimensional languages; low-level
Grawlix,2017,,turing complete,implemented,cell-based,languages; brainfuck derivatives; low-level
Triangularity,2018,functional paradigm,,implemented,,languages
The Waterfall Model,2018,,turing complete,output only; implemented,,languages; low-level
NoRAL,2017,,,implemented,,languages; low-level
Bitter,2017,,turing complete,implemented; no io,cell-based,languages; brainfuck derivatives; low-level
Wumpus,2018,,turing complete,implemented,stack-based‏,languages; two-dimensional languages
Uyjhmn n,2018,,turing complete,implemented,,languages; high-level
Ende,2018,object-oriented paradigm,,implemented,queue-based,languages
Backpackr,,,unknown computational class,implemented,stack-based,languages
Pepe,2017,,turing_complete,implemented,stack-based,languages; low-level; thematic
IOTA-C0,2018,,turing complete,implemented,cell-based,languages
RTFM,,,,,,languages
Cixl,2017,,turing complete,implemented,stack-based,languages
Alphabet Stew,2018,,turing complete,implemented,,languages; brainfuck derivatives; low-level
RAM0,,,turing tarpits,no io; implemented,cell-based,languages; low-level
I/D machine,2018,,turing tarpits,no io; implemented,cell-based,languages; low-level
Hatemath,2018,,,implemented; output only; total; unusable for programming,,languages
TLOWScript,2018,,,output only; implemented,,languages
`LML,,,,implemented,,languages; brainfuck derivatives
ZTOALC L,2018,,,implemented,,languages
Advanced Brainfuck,2018,,,,,brainfuck derivatives; languages
RANDo,,,,total; unusable for programming; implemented,,languages
Ases,2018,,finite state automata,implemented,,languages; low-level
Cookie Cutter,2018,,unknown computational class,unimplemented; usability unknown,,languages; two-dimensional languages
CopyPasta Language,2018,,turing complete,implemented,,languages; thematic
YEOOIIOOIOA,2018,functional paradigm,turing complete,unimplemented,,languages
OM,2018,,turing complete,implemented,,languages; high-level
Procedural Footnote Language,,,turing complete,implemented,,languages
Schmuu,2018,,,unimplemented,,languages
Surtic,2018,,turing complete,unimplemented,cell-based,languages; high-level
Andromeda,2018,,turing complete,implemented; no io,queue-based,languages; two-dimensional languages
Along and Across,2018,,,no io; implemented,,languages; meta-languages; low-level
Boolet,,,turing complete; turing tarpits,,stack-based,languages
Perpetuum Mobile,,,turing complete,,,languages; two-dimensional languages
Seeker,2018,,turing_complete,unimplemented,,high-level; languages
TPPL,2018,,,implemented,stack-based,languages
Qwertypy,2018,,turing_complete,implemented,,languages
Between,2018,,,unimplemented,,languages
LOLZ,,,,implemented,,languages
Equipage,2018,,turing complete,implemented; no io,stack-based,languages
PUBERTY,2018,,,,,languages; joke languages
Annoying Alice 2D,2018,,,implemented,,languages; two-dimensional languages; thematic
Losescript,,,turing complete,unimplemented,,languages; joke languages; golfing language
`,2018,,finite state automata,output only; implemented,cell-based,languages
Brainpocalypse,2018,,turing complete; turing tarpits,no io; implemented,cell-based,languages; brainfuck derivatives; low-level
GetWhen,,,unknown computational class,,,languages
$,2018,,finite state automata,output only; implemented,cell-based,languages
ON THE WAY TO WHO KNOWS WHERE,,,,unimplemented,stack-based,languages
Turing (Iamcalledbob),2018,,,unimplemented,,languages
Hexsp,2018,functional paradigm,turing complete,implemented,,languages
DeadSimple,2018,,,implemented; output only; total,,low-level; languages
SASM,2018,,turing tarpits,implemented; no io,,languages; low-level
First.go,,,,implemented,stack-based,languages
4-list,2018,,turing complete,unimplemented,,languages
BSoD,2018,,,implemented; output only; total,,languages; thematic
Unilot,2018,,unknown computational class,unimplemented,,languages
1argasm,2018,,,,,languages
User:Language,2018,,,unimplemented,stack-based,languages; user edited
Solo,2018,,push-down automata,unusable for programming; implemented,,languages
--Unless,,declarative paradigm; object-oriented paradigm; functional paradigm,turing tarpits; turing complete,,,languages
Fusion Tag,,,unknown computational class,usability unknown; no io; implemented,queue-based,languages; low-level
Far,2018,,turing complete,implemented,,languages
++Brainfuck,,,,implemented,,languages; brainfuck derivatives
Transio,2018,,turing_complete,usability_unknown; implemented,deque-based,languages
Tip,2018,,turing complete; turing tarpits,implemented,,languages; low-level
Disan,2018,,,implemented; total; unusable for programming,,languages
🆒,2018,functional paradigm‏‎,turing complete,implemented,,languages; high-level‏‎; thematic
开？关！,,,turing complete; turing tarpits,no io,,languages; joke languages; cjk
What a mess!,2018,,unknown computational class,usability unknown,,languages
Stun Step,2018,,turing complete; turing tarpits,no io; implemented,cell-based,languages; low-level
MSR,2018,,,implemented,,languages
Functional(),2018,functional paradigm,turing complete,implemented,,languages
